Number,MSE,SSIM,file,Truth_route,Generation_route
0,0.0054047890007495,0.9216369792880598,4676.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0152499619871377,0.8566200250128576,846.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0087436735630035,0.8915796035916106,2704.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0107208974659442,0.8378360054401819,325.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0086171142756938,0.8753695313930357,5530.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0061087966896593,0.8968390319342455,1797.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0062138973735272,0.9410958158021624,5943.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0047828345559537,0.9226512276559822,9553.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.01720417663455,0.8274587669125026,1417.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.010922722518444,0.8600439916033883,1010.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0082213077694177,0.90758457324229,3033.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0071329898200929,0.918570621878155,5416.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0070356577634811,0.9286214783787728,7318.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0083907879889011,0.9089898234310227,1693.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0090169589966535,0.9007702978127752,4449.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0066718645393848,0.9160407400451416,6251.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0115809654816985,0.8572887706008455,4892.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.005359947681427,0.8806434433814908,3088.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0222272239625453,0.7944023172132486,11.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.007744391914457,0.85660488921995,9880.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0109746847301721,0.8839685363340969,9415.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0045467009767889,0.9295141427231228,9353.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.007144721224904,0.9371730288690772,7538.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0052516884170472,0.938565774366629,9163.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0073664565570652,0.9181873175846644,9200.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0101900370791554,0.8664644459985997,1405.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0066767879761755,0.8770016687883695,5828.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0070306360721588,0.925217682126263,5831.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0059047937393188,0.9503410230121336,8153.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0062988130375742,0.8793392788064628,6589.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0065860454924404,0.9304850693822893,8859.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.005118949804455,0.9199191775819486,7466.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0278933923691511,0.7492221054940461,3775.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0066116452217102,0.900589533735159,7527.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.004542876034975,0.958287783521266,7899.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0103499433025717,0.8846685530171414,2997.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0057421792298555,0.9145841392850088,5354.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0068589593283832,0.8984850954864759,7700.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0055040838196873,0.9549383304951604,6115.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0056703663431108,0.8936358877142107,7038.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0091667054221034,0.9067583398600996,8596.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0192474629729986,0.8262221020884997,306.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0113685661926865,0.8556276066305716,6558.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.005590961780399,0.9503854261942146,5670.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0080089885741472,0.915950957870434,8415.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0083885118365287,0.8909535832118151,609.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0074474881403148,0.9311045555413262,4632.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0130694042891263,0.8516554150668797,3171.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0063454010523855,0.8755989949534501,6242.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.008680060505867,0.93075682647711,9664.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0054874694906175,0.9122348892664122,3053.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0066598602570593,0.9067959600428412,4825.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0112236067652702,0.881300253870566,5166.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0079343896359205,0.8835156075040663,7411.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.007454196922481,0.9191185448257144,6842.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
0,0.0188090912997722,0.848809132952828,189.jpg,/home/fbn/Dataset Mnist - NMnist/MNIST/Test/0,/home/fbn/Dataset Mnist - NMnist/TEST GENERATIONS 10K/default_0/Generations
